Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015
IDA blend,IDB,"Population, total",SP.POP.TOTL,528763723,539899431,550984334,562333102,573936396,585708797
Indonesia,IDN,"Population, total",SP.POP.TOTL,241613126,244808254,248037853,251268276,254454778,257563815
IDA only,IDX,"Population, total",SP.POP.TOTL,959360675,981375889,1003717001,1026497002,1049822320,1073800915
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84327,85069,85779,86462,87127,87780
India,IND,"Population, total",SP.POP.TOTL,1230984504,1247446011,1263589639,1279498874,1295291543,1311050527
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4560155,4576794,4586897,4598294,4617225,4643740
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,74253373,75184322,76156975,77152445,78143644,79109272
Iraq,IRQ,"Population, total",SP.POP.TOTL,30868156,31867758,32957622,34107366,35273293,36423395
Iceland,ISL,"Population, total",SP.POP.TOTL,318041,319014,320716,323764,327386,330815
Israel,ISR,"Population, total",SP.POP.TOTL,7623600,7765800,7910500,8059500,8215700,8380100
Italy,ITA,"Population, total",SP.POP.TOTL,59277417,59379449,59539717,60233948,60789140,60730582
Jamaica,JAM,"Population, total",SP.POP.TOTL,2741253,2752358,2762965,2773215,2783301,2793335
Jordan,JOR,"Population, total",SP.POP.TOTL,6517912,6760371,6994451,7214832,7416083,7594547
Japan,JPN,"Population, total",SP.POP.TOTL,128070000,127817277,127561489,127338621,127131800,126958472
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,16321581,16556600,16791425,17035275,17289224,17544126
Kenya,KEN,"Population, total",SP.POP.TOTL,40328313,41419954,42542978,43692881,44863583,46050302
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5447900,5514600,5607200,5719600,5835500,5956900
Cambodia,KHM,"Population, total",SP.POP.TOTL,14363586,14593099,14832255,15078564,15328136,15577899
Kiribati,KIR,"Population, total",SP.POP.TOTL,102648,104662,106620,108544,110470,112423
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52352,52998,53650,54301,54944,55572
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,49410366,49779440,50004441,50219669,50423955,50617045
Kuwait,KWT,"Population, total",SP.POP.TOTL,3059473,3239181,3419581,3593689,3753121,3892115
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,571985527,578819439,585591775,592292421,598909306,605432386
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6260544,6366909,6473050,6579985,6689300,6802023
Lebanon,LBN,"Population, total",SP.POP.TOTL,4337156,4591698,4924257,5286990,5612096,5850743
Liberia,LBR,"Population, total",SP.POP.TOTL,3957990,4079574,4190155,4293692,4396554,4503438
Libya,LBY,"Population, total",SP.POP.TOTL,6265697,6288652,6283403,6265987,6258984,6278438
St. Lucia,LCA,"Population, total",SP.POP.TOTL,177397,179278,180890,182305,183645,184999
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,598740592,605747157,612693536,619572053,626348350,633026419
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,847254847,867623500,888559745,910012840,931900321,954157804
Low income,LIC,"Population, total",SP.POP.TOTL,556926383,572393050,588316015,604648276,621322015,638286288
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,36276,36537,36791,37040,37286,37531
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,20119000,20271000,20425000,20585000,20771000,20966000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2719086819,2760605317,2801937937,2843484802,2885245227,2927468838
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5769549311,5845857020,5923140608,6001423028,6080322159,6159612979
Lesotho,LSO,"Population, total",SP.POP.TOTL,2010586,2032950,2057331,2083061,2109197,2135022
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2182204213,2195329853,2208789743,2222365085,2235982754,2249385146
Lithuania,LTU,"Population, total",SP.POP.TOTL,3097282,3028115,2987773,2957689,2932367,2904910
Luxembourg,LUX,"Population, total",SP.POP.TOTL,506953,518347,530946,543360,556319,569604
Latvia,LVA,"Population, total",SP.POP.TOTL,2097555,2059709,2034319,2012647,1993782,1977527
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,534626,546682,557763,568056,577914,587606
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,30235,30615,30959,31264,31530,31754
Morocco,MAR,"Population, total",SP.POP.TOTL,32107739,32531964,32984190,33452686,33921203,34377511
Monaco,MCO,"Population, total",SP.POP.TOTL,36845,37189,37404,37528,37623,37731
Moldova,MDA,"Population, total",SP.POP.TOTL,3562045,3559986,3559519,3558566,3556397,3554108
Madagascar,MDG,"Population, total",SP.POP.TOTL,21079532,21678867,22293720,22924557,23571713,24235390
Maldives,MDV,"Population, total",SP.POP.TOTL,367000,377000,385000,393000,401000,409163
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,385509118,393359224,401136713,408851145,416535395,424211252
Mexico,MEX,"Population, total",SP.POP.TOTL,118617542,120365271,122070963,123740109,125385833,127017224
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52428,52541,52663,52786,52898,52993
Middle income,MIC,"Population, total",SP.POP.TOTL,5212622928,5273463970,5334824593,5396774752,5459000144,5521326691
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2062443,2065888,2069270,2072543,2075625,2078453
Mali,MLI,"Population, total",SP.POP.TOTL,15167286,15639115,16112333,16592097,17086022,17599694
Malta,MLT,"Population, total",SP.POP.TOTL,414508,416268,419455,423374,427364,431874
Myanmar,MMR,"Population, total",SP.POP.TOTL,51733013,52125411,52543841,52983829,53437159,53897154
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,332020858,337993361,344044195,350175926,356396474,362706695
Montenegro,MNE,"Population, total",SP.POP.TOTL,619428,620079,620601,621207,621810,622159
Mongolia,MNG,"Population, total",SP.POP.TOTL,2712657,2759074,2808339,2859174,2909871,2959134
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,53860,53234,53314,53869,54541,55070
Mozambique,MOZ,"Population, total",SP.POP.TOTL,24321457,25016921,25732928,26467180,27216276,27977863
Mauritania,MRT,"Population, total",SP.POP.TOTL,3591400,3683221,3777067,3872684,3969625,4067564
Mauritius,MUS,"Population, total",SP.POP.TOTL,1250400,1252404,1255882,1258653,1260934,1262605
Malawi,MWI,"Population, total",SP.POP.TOTL,14769824,15226813,15700436,16190126,16695253,17215232
Malaysia,MYS,"Population, total",SP.POP.TOTL,28119500,28572970,29021940,29465372,29901997,30331007
North America,NAC,"Population, total",SP.POP.TOTL,343417261,346126201,348917966,351647847,354517104,357332665
Namibia,NAM,"Population, total",SP.POP.TOTL,2193643,2240161,2291645,2346592,2402858,2458830
New Caledonia,NCL,"Population, total",SP.POP.TOTL,250000,254000,259000,263000,268000,273000
Niger,NER,"Population, total",SP.POP.TOTL,16291990,16946485,17635782,18358863,19113728,19899120
Nigeria,NGA,"Population, total",SP.POP.TOTL,159424742,163770669,168240403,172816517,177475986,182201962
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5737722,5807787,5877034,5945646,6013913,6082032
Netherlands,NLD,"Population, total",SP.POP.TOTL,16615394,16693074,16754962,16804432,16865008,16939923
Norway,NOR,"Population, total",SP.POP.TOTL,4889252,4953088,5018573,5079623,5137232,5190239
Nepal,NPL,"Population, total",SP.POP.TOTL,26875910,27179237,27500515,27834981,28174724,28513700
Nauru,NRU,"Population, total",SP.POP.TOTL,10025,10057,10279,10821,11853,12475
New Zealand,NZL,"Population, total",SP.POP.TOTL,4350700,4384000,4408100,4442100,4509700,4595700
OECD members,OED,"Population, total",SP.POP.TOTL,1243550244,1250082642,1258041252,1266328931,1274752421,1282900953
Oman,OMN,"Population, total",SP.POP.TOTL,2943747,3210003,3545192,3906912,4236057,4490541
Other small states,OSS,"Population, total",SP.POP.TOTL,25956307,26521647,27062150,27581301,28088197,28593188
Pakistan,PAK,"Population, total",SP.POP.TOTL,170043918,173669648,177392252,181192646,185044286,188924874
Panama,PAN,"Population, total",SP.POP.TOTL,3620506,3681979,3743761,3805683,3867535,3929141
Peru,PER,"Population, total",SP.POP.TOTL,29373644,29759891,30158768,30565461,30973148,31376670
Philippines,PHL,"Population, total",SP.POP.TOTL,93038902,94501233,96017322,97571676,99138690,100699395
Palau,PLW,"Population, total",SP.POP.TOTL,20470,20606,20756,20919,21097,21291
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,6847517,7001172,7154870,7308864,7463577,7619321
Poland,POL,"Population, total",SP.POP.TOTL,38042794,38063255,38063164,38040196,38011735,37986412
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,735760142,757441656,779816101,802804998,826297315,850210773
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3721526,3678736,3634487,3593079,3534888,3474182
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,24500506,24631359,24763353,24895705,25026772,25155317
Portugal,PRT,"Population, total",SP.POP.TOTL,10573100,10557560,10514844,10457295,10401062,10358076
Paraguay,PRY,"Population, total",SP.POP.TOTL,6209877,6293763,6379162,6465669,6552518,6639123
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,3811102,3927051,4046901,4169506,4294682,4422143
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2211421,2239863,2268182,2296530,2325190,2353344
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1075074391,1078067878,1082691762,1087594267,1092609930,1097579098
French Polynesia,PYF,"Population, total",SP.POP.TOTL,268065,270862,273775,276766,279781,282764
Qatar,QAT,"Population, total",SP.POP.TOTL,1765513,1905437,2015624,2101288,2172065,2235355
Romania,ROU,"Population, total",SP.POP.TOTL,20246871,20147528,20058035,19983693,19908979,19815308
Russian Federation,RUS,"Population, total",SP.POP.TOTL,142849449,142960868,143201676,143506911,143819666,144096870
Rwanda,RWA,"Population, total",SP.POP.TOTL,10293669,10556429,10817350,11078095,11341544,11609666
South Asia,SAS,"Population, total",SP.POP.TOTL,1628689562,1651889921,1675020307,1698099032,1721152580,1744161298
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,28090647,28788438,29496047,30201051,30886545,31540372
Sudan,SDN,"Population, total",SP.POP.TOTL,36114885,36918193,37712420,38515095,39350274,40234882
Senegal,SEN,"Population, total",SP.POP.TOTL,12956791,13357003,13780108,14221041,14672557,15129273
Singapore,SGP,"Population, total",SP.POP.TOTL,5076732,5183688,5312437,5399162,5469724,5535002
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,526177,537648,549162,560685,572171,583591
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,5775902,5908908,6043157,6178859,6315627,6453184
El Salvador,SLV,"Population, total",SP.POP.TOTL,6038306,6055208,6072233,6089644,6107706,6126583
San Marino,SMR,"Population, total",SP.POP.TOTL,30690,30938,31172,31391,31595,31781
Somalia,SOM,"Population, total",SP.POP.TOTL,9581714,9806670,10033630,10268157,10517569,10787104
Serbia,SRB,"Population, total",SP.POP.TOTL,7291436,7234099,7199077,7164132,7130576,7095383
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,873898006.4,898090476.4,922916940.1,948352217.6,974368578.7,1000943138
South Sudan,SSD,"Population, total",SP.POP.TOTL,10056475,10510122,10980623,11453810,11911184,12339812
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,873987776.4,898177917.4,923005243.1,948442166.6,974459937.7,1001036557
Small states,SST,"Population, total",SP.POP.TOTL,35072726,35710727,36322600,36912131,37488991,38062892
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,170880,174646,178484,182386,186342,190344
Suriname,SUR,"Population, total",SP.POP.TOTL,518141,523439,528535,533450,538248,542975
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5391428,5398384,5407579,5413393,5418649,5423801
Slovenia,SVN,"Population, total",SP.POP.TOTL,2048583,2052843,2057159,2059953,2061980,2063531
Sweden,SWE,"Population, total",SP.POP.TOTL,9378126,9449213,9519374,9600379,9696110,9799186
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1193148,1212458,1231694,1250641,1269112,1286970
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,35474,33435,34640,36607,37685,38824
Seychelles,SYC,"Population, total",SP.POP.TOTL,89770,87441,88303,89949,91359,93419
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20720602,20501167,19978756,19322593,18772481,18502413
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,30993,31727,32430,33103,33740,34339
Chad,TCD,"Population, total",SP.POP.TOTL,11896380,12298512,12715465,13145788,13587053,14037472
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1939286912,1952938845,1966928058,1981132507,1995530937,2009880516
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,441582904,443792237,446161754,448726623,451144054,453480582
Togo,TGO,"Population, total",SP.POP.TOTL,6390851,6566179,6745581,6928719,7115163,7304578
Thailand,THA,"Population, total",SP.POP.TOTL,66692024,66902958,67164130,67451422,67725979,67959359
Tajikistan,TJK,"Population, total",SP.POP.TOTL,7581696,7753925,7930929,8111894,8295840,8481855
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5041995,5106672,5172941,5240088,5307188,5373502
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,582534536,589558724,596518632,603406244,610212685,616929998
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1057122,1077602,1102076,1129315,1157360,1184765
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,328209756,334066310,339997294,346006420,352101792,358284552
Tonga,TON,"Population, total",SP.POP.TOTL,103947,104392,104769,105139,105586,106170
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1628689562,1651889921,1675020307,1698099032,1721152580,1744161298
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,873987776.4,898177917.4,923005243.1,948442166.6,974459937.7,1001036557
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1328095,1334790,1341579,1348240,1354483,1360088
Tunisia,TUN,"Population, total",SP.POP.TOTL,10639194,10758870,10881450,11005706,11130154,11253554
Turkey,TUR,"Population, total",SP.POP.TOTL,72310416,73517002,74849187,76223639,77523788,78665830
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9827,9844,9860,9876,9893,9916
Tanzania,TZA,"Population, total",SP.POP.TOTL,45648525,47122998,48645709,50213457,51822621,53470420
Uganda,UGA,"Population, total",SP.POP.TOTL,33149417,34260342,35400620,36573387,37782971,39032383
Ukraine,UKR,"Population, total",SP.POP.TOTL,45870700,45706100,45593300,45489600,45271947,45154029
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2493536109,2512858653,2532886656,2553289950,2573754917,2593857853
Uruguay,URY,"Population, total",SP.POP.TOTL,3374414,3385610,3396753,3407969,3419516,3431555
United States,USA,"Population, total",SP.POP.TOTL,309346863,311718857,314102623,316427395,318907401,321418820
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,28562400,29339400,29774500,30243200,30757700,31298900
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,109316,109341,109334,109327,109360,109462
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28995745,29427631,29854238,30276045,30693827,31108083
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,27223,27906,28511,29058,29585,30117
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106267,105784,105275,104737,104170,103574
Vietnam,VNM,"Population, total",SP.POP.TOTL,86932500,87860300,88809200,89759500,90728900,91713300
Vanuatu,VUT,"Population, total",SP.POP.TOTL,236299,241876,247498,253165,258883,264652
World,WLD,"Population, total",SP.POP.TOTL,6924026510,7005660672,7089714677,7174864459,7260691786,7346705903
Samoa,WSM,"Population, total",SP.POP.TOTL,186029,187434,188901,190390,191845,193228
Kosovo,XKX,"Population, total",SP.POP.TOTL,1775680,1790957,1805200,1824100,1821800,1801800
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,23591972,24234940,24882792,25533217,26183676,26832215
South Africa,ZAF,"Population, total",SP.POP.TOTL,50979432.36,51729345.36,52506515.08,53311955.61,54146734.74,55011976.68
Zambia,ZMB,"Population, total",SP.POP.TOTL,13917439,14343526,14786581,15246086,15721343,16211767
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,13973897,14255592,14565482,14898092,15245855,15602751
